Entity,Code,Year,Population - Sex: female - Age: all - Variant: estimates
Albania,ALB,1964,911807
Albania,ALB,1965,937508
Albania,ALB,1966,964691
Albania,ALB,1967,993351
Albania,ALB,1968,1023144
Albania,ALB,1969,1051710
Albania,ALB,1970,1078114
Albania,ALB,1971,1104116
Albania,ALB,1972,1130368
Albania,ALB,1973,1156954
Albania,ALB,1974,1183815
Albania,ALB,1975,1210813
Albania,ALB,1976,1238004
Albania,ALB,1977,1265389
Albania,ALB,1978,1293878
Albania,ALB,1979,1322146
Albania,ALB,1980,1349317
Albania,ALB,1981,1377001
Albania,ALB,1982,1405608
Albania,ALB,1983,1435269
Albania,ALB,1984,1465906
Albania,ALB,1985,1497448
Albania,ALB,1986,1529188
Albania,ALB,1987,1560808
Albania,ALB,1988,1593882
Albania,ALB,1989,1619463
Albania,ALB,1990,1631300
Albania,ALB,1991,1637158
Albania,ALB,1992,1640891
Albania,ALB,1993,1642643
Albania,ALB,1994,1642759
Albania,ALB,1995,1641864
Albania,ALB,1996,1640137
Albania,ALB,1997,1637034
Albania,ALB,1998,1632306
Albania,ALB,1999,1626543
Albania,ALB,2000,1620376
Albania,ALB,2001,1613244
Albania,ALB,2002,1604090
Albania,ALB,2003,1592883
Albania,ALB,2004,1580097
Albania,ALB,2005,1565951
Albania,ALB,2006,1550586
Albania,ALB,2007,1534125
Albania,ALB,2008,1516765
Albania,ALB,2009,1498760
Albania,ALB,2010,1480203
Albania,ALB,2011,1470614
Albania,ALB,2012,1469990
Albania,ALB,2013,1468822
Albania,ALB,2014,1466889
Albania,ALB,2015,1464236
Albania,ALB,2016,1463732
Albania,ALB,2017,1463798
Albania,ALB,2018,1461663
Albania,ALB,2019,1456845
Albania,ALB,2020,1450545
Albania,ALB,2021,1439985
Albania,ALB,2022,1429341
Albania,ALB,2023,1421551
Algeria,DZA,1950,4405601
Algeria,DZA,1951,4531455
Algeria,DZA,1952,4657019
Algeria,DZA,1953,4782397
Algeria,DZA,1954,4907299
Algeria,DZA,1955,5032212
Algeria,DZA,1956,5157725
Algeria,DZA,1957,5283239
Algeria,DZA,1958,5408914
Algeria,DZA,1959,5534271
Algeria,DZA,1960,5659071
Algeria,DZA,1961,5752716
Algeria,DZA,1962,5814421
Algeria,DZA,1963,5876128
Algeria,DZA,1964,5937819
Algeria,DZA,1965,5988343
Algeria,DZA,1966,6077680
Algeria,DZA,1967,6218928
Algeria,DZA,1968,6364894
Algeria,DZA,1969,6514037
Algeria,DZA,1970,6665207
Algeria,DZA,1971,6820055
Algeria,DZA,1972,6981393
Algeria,DZA,1973,7150827
Algeria,DZA,1974,7329551
Algeria,DZA,1975,7590788
Algeria,DZA,1976,7932448
Algeria,DZA,1977,8221887
Algeria,DZA,1978,8465395
Algeria,DZA,1979,8726896
Algeria,DZA,1980,9007600
Algeria,DZA,1981,9308197
Algeria,DZA,1982,9626119
Algeria,DZA,1983,9958737
Algeria,DZA,1984,10303273
Algeria,DZA,1985,10657667
Algeria,DZA,1986,11012245
Algeria,DZA,1987,11350993
Algeria,DZA,1988,11675902
Algeria,DZA,1989,11991517
Algeria,DZA,1990,12297011
Algeria,DZA,1991,12598512
Algeria,DZA,1992,12910660
Algeria,DZA,1993,13222952
Algeria,DZA,1994,13516292
Algeria,DZA,1995,13795316
Algeria,DZA,1996,14062377
Algeria,DZA,1997,14318464
Algeria,DZA,1998,14549089
Algeria,DZA,1999,14762201
Algeria,DZA,2000,14978800
Algeria,DZA,2001,15195117
Algeria,DZA,2002,15408407
Algeria,DZA,2003,15624658
Algeria,DZA,2004,15854113
Algeria,DZA,2005,16098218
Algeria,DZA,2006,16359136
Algeria,DZA,2007,16643695
Algeria,DZA,2008,16955522
Algeria,DZA,2009,17288358
Algeria,DZA,2010,17633791
Algeria,DZA,2011,17988949
Algeria,DZA,2012,18358888
Algeria,DZA,2013,18741954
Algeria,DZA,2014,19136662
Algeria,DZA,2015,19543147
Algeria,DZA,2016,19956557
Algeria,DZA,2017,20373076
Algeria,DZA,2018,20780246
Algeria,DZA,2019,21175752
Algeria,DZA,2020,21551761
Algeria,DZA,2021,21912675
Algeria,DZA,2022,22270517
Algeria,DZA,2023,22614989
Argentina,ARG,1950,8348430
Argentina,ARG,1951,8533589
Argentina,ARG,1952,8719649
Argentina,ARG,1953,8905910
Argentina,ARG,1954,9090642
Argentina,ARG,1955,9272423
Argentina,ARG,1956,9453755
Argentina,ARG,1957,9634015
Argentina,ARG,1958,9812762
Argentina,ARG,1959,9993418
Argentina,ARG,1960,10175528
Argentina,ARG,1961,10357374
Argentina,ARG,1962,10539654
Argentina,ARG,1963,10723650
Argentina,ARG,1964,10907257
Argentina,ARG,1965,11088673
Argentina,ARG,1966,11268776
Argentina,ARG,1967,11450941
Argentina,ARG,1968,11637229
Argentina,ARG,1969,11827795
Argentina,ARG,1970,12023845
Argentina,ARG,1971,12226199
Argentina,ARG,1972,12434794
Argentina,ARG,1973,12650533
Argentina,ARG,1974,12872764
Argentina,ARG,1975,13091933
Argentina,ARG,1976,13307094
Argentina,ARG,1977,13527194
Argentina,ARG,1978,13751357
Argentina,ARG,1979,13977317
Argentina,ARG,1980,14205755
Argentina,ARG,1981,14439212
Argentina,ARG,1982,14676897
Argentina,ARG,1983,14916806
Argentina,ARG,1984,15157860
Argentina,ARG,1985,15399851
Argentina,ARG,1986,15642971
Argentina,ARG,1987,15887733
Argentina,ARG,1988,16136525
Argentina,ARG,1989,16385774
Argentina,ARG,1990,16630957
Argentina,ARG,1991,16869703
Argentina,ARG,1992,17103142
Argentina,ARG,1993,17334847
Argentina,ARG,1994,17565568
Argentina,ARG,1995,17793354
Argentina,ARG,1996,18015826
Argentina,ARG,1997,18233977
Argentina,ARG,1998,18448101
Argentina,ARG,1999,18660012
Argentina,ARG,2000,18870190
Argentina,ARG,2001,19076990
Argentina,ARG,2002,19281386
Argentina,ARG,2003,19480496
Argentina,ARG,2004,19676034
Argentina,ARG,2005,19874795
Argentina,ARG,2006,20074299
Argentina,ARG,2007,20266490
Argentina,ARG,2008,20464400
Argentina,ARG,2009,20673509
Argentina,ARG,2010,20883720
Argentina,ARG,2011,21099010
Argentina,ARG,2012,21307314
Argentina,ARG,2013,21507074
Argentina,ARG,2014,21718371
Argentina,ARG,2015,21939317
Argentina,ARG,2016,22147411
Argentina,ARG,2017,22335740
Argentina,ARG,2018,22512097
Argentina,ARG,2019,22665751
Argentina,ARG,2020,22772483
Argentina,ARG,2021,22834163
Argentina,ARG,2022,22880777
Argentina,ARG,2023,22941415
Armenia,ARM,1950,720980
Armenia,ARM,1951,737893
Armenia,ARM,1952,756025
Armenia,ARM,1953,775500
Armenia,ARM,1954,796452
Armenia,ARM,1955,818972
Armenia,ARM,1956,843373
Armenia,ARM,1957,869778
Armenia,ARM,1958,897893
Armenia,ARM,1959,927703
Armenia,ARM,1960,958828
Armenia,ARM,1961,990538
Armenia,ARM,1962,1022508
Armenia,ARM,1963,1054591
Armenia,ARM,1964,1086637
Armenia,ARM,1965,1118435
Armenia,ARM,1966,1149806
Armenia,ARM,1967,1180615
Armenia,ARM,1968,1210714
Armenia,ARM,1969,1239258
Armenia,ARM,1970,1265260
Armenia,ARM,1971,1290912
Armenia,ARM,1972,1318248
Armenia,ARM,1973,1346749
Armenia,ARM,1974,1376228
Armenia,ARM,1975,1406531
Armenia,ARM,1976,1450690
Armenia,ARM,1977,1510503
Armenia,ARM,1978,1573238
Armenia,ARM,1979,1611346
Armenia,ARM,1980,1624732
Armenia,ARM,1981,1638722
Armenia,ARM,1982,1652567
Armenia,ARM,1983,1666608
Armenia,ARM,1984,1683564
Armenia,ARM,1985,1702915
Armenia,ARM,1986,1721733
Armenia,ARM,1987,1740092
Armenia,ARM,1988,1754814
Armenia,ARM,1989,1799206
Armenia,ARM,1990,1853436
Armenia,ARM,1991,1884308
Armenia,ARM,1992,1863275
Armenia,ARM,1993,1803947
Armenia,ARM,1994,1759433
Armenia,ARM,1995,1730602
Armenia,ARM,1996,1715661
Armenia,ARM,1997,1698721
Armenia,ARM,1998,1684578
Armenia,ARM,1999,1674589
Armenia,ARM,2000,1664581
Armenia,ARM,2001,1649915
Armenia,ARM,2002,1636150
Armenia,ARM,2003,1627974
Armenia,ARM,2004,1619962
Armenia,ARM,2005,1612130
Armenia,ARM,2006,1604495
Armenia,ARM,2007,1597121
Armenia,ARM,2008,1591691
Armenia,ARM,2009,1588147
Armenia,ARM,2010,1584903
Armenia,ARM,2011,1582536
Armenia,ARM,2012,1581152
Armenia,ARM,2013,1580087
Armenia,ARM,2014,1578983
Armenia,ARM,2015,1577343
Armenia,ARM,2016,1575164
Armenia,ARM,2017,1572315
Armenia,ARM,2018,1568153
Armenia,ARM,2019,1562886
Armenia,ARM,2020,1554460
Armenia,ARM,2021,1542524
Armenia,ARM,2022,1546939
Armenia,ARM,2023,1578021
Australia,AUS,1950,4056518
Australia,AUS,1951,4166235
Australia,AUS,1952,4264071
Australia,AUS,1953,4354061
Australia,AUS,1954,4445681
Australia,AUS,1955,4545621
Australia,AUS,1956,4651445
Australia,AUS,1957,4759071
Australia,AUS,1958,4868012
Australia,AUS,1959,4976946
Australia,AUS,1960,5085987
Australia,AUS,1961,5195850
Australia,AUS,1962,5303631
Australia,AUS,1963,5410586
Australia,AUS,1964,5519695
Australia,AUS,1965,5635420
Australia,AUS,1966,5754517
Australia,AUS,1967,5865319
Australia,AUS,1968,5976089
Australia,AUS,1969,6097722
Australia,AUS,1970,6262461
Australia,AUS,1971,6463920
Australia,AUS,1972,6619390
Australia,AUS,1973,6728222
Australia,AUS,1974,6831545
Australia,AUS,1975,6923853
Australia,AUS,1976,7006916
Australia,AUS,1977,7092259
Australia,AUS,1978,7180801
Australia,AUS,1979,7269872
Australia,AUS,1980,7369278
Australia,AUS,1981,7485953
Australia,AUS,1982,7606955
Australia,AUS,1983,7716971
Australia,AUS,1984,7819608
Australia,AUS,1985,7926018
Australia,AUS,1986,8042539
Australia,AUS,1987,8171737
Australia,AUS,1988,8311638
Australia,AUS,1989,8452103
Australia,AUS,1990,8583875
Australia,AUS,1991,8702147
Australia,AUS,1992,8805377
Australia,AUS,1993,8896715
Australia,AUS,1994,8987554
Australia,AUS,1995,9090099
Australia,AUS,1996,9200314
Australia,AUS,1997,9306479
Australia,AUS,1998,9410925
Australia,AUS,1999,9520369
Australia,AUS,2000,9636165
Australia,AUS,2001,9755105
Australia,AUS,2002,9869902
Australia,AUS,2003,9981197
Australia,AUS,2004,10093823
Australia,AUS,2005,10216137
Australia,AUS,2006,10361254
Australia,AUS,2007,10537640
Australia,AUS,2008,10738036
Australia,AUS,2009,10938978
Australia,AUS,2010,11118499
Australia,AUS,2011,11290536
Australia,AUS,2012,11480022
Australia,AUS,2013,11677830
Australia,AUS,2014,11867692
Australia,AUS,2015,12055510
Australia,AUS,2016,12255923
Australia,AUS,2017,12460049
Australia,AUS,2018,12654149
Australia,AUS,2019,12836798
Australia,AUS,2020,12970042
Australia,AUS,2021,13077060
Australia,AUS,2022,13200522
Australia,AUS,2023,13327470
Austria,AUT,1950,3716499
Austria,AUT,1951,3715198
Austria,AUT,1952,3712872
Austria,AUT,1953,3714036
Austria,AUT,1954,3716786
Austria,AUT,1955,3719150
Austria,AUT,1956,3721020
Austria,AUT,1957,3726808
Austria,AUT,1958,3736683
Austria,AUT,1959,3749265
Austria,AUT,1960,3764754
Austria,AUT,1961,3783377
Austria,AUT,1962,3803917
Austria,AUT,1963,3825069
Austria,AUT,1964,3846805
Austria,AUT,1965,3866846
Austria,AUT,1966,3887861
Austria,AUT,1967,3910683
Austria,AUT,1968,3927102
Austria,AUT,1969,3938118
Austria,AUT,1970,3948720
Austria,AUT,1971,3962575
Austria,AUT,1972,3980929
Austria,AUT,1973,3998019
Austria,AUT,1974,4004284
Austria,AUT,1975,3997542
Austria,AUT,1976,3992087
Austria,AUT,1977,3992692
Austria,AUT,1978,3989078
Austria,AUT,1979,3982578
Austria,AUT,1980,3981451
Austria,AUT,1981,3987576
Austria,AUT,1982,3986921
Austria,AUT,1983,3978380
Austria,AUT,1984,3975147
Austria,AUT,1985,3973256
Austria,AUT,1986,3971186
Austria,AUT,1987,3968841
Austria,AUT,1988,3969274
Austria,AUT,1989,3980997
Austria,AUT,1990,4003357
Austria,AUT,1991,4034865
Austria,AUT,1992,4072004
Austria,AUT,1993,4099654
Austria,AUT,1994,4111213
Austria,AUT,1995,4115284
Austria,AUT,1996,4119512
Austria,AUT,1997,4122848
Austria,AUT,1998,4125633
Austria,AUT,1999,4131102
Austria,AUT,2000,4137657
Austria,AUT,2001,4148220
Austria,AUT,2002,4163483
Austria,AUT,2003,4181068
Austria,AUT,2004,4204216
Austria,AUT,2005,4229117
Austria,AUT,2006,4247274
Austria,AUT,2007,4260191
Austria,AUT,2008,4272927
Austria,AUT,2009,4282831
Austria,AUT,2010,4291906
Austria,AUT,2011,4304158
Austria,AUT,2012,4320103
Austria,AUT,2013,4341304
Austria,AUT,2014,4369365
Austria,AUT,2015,4406988
Austria,AUT,2016,4444822
Austria,AUT,2017,4472686
Austria,AUT,2018,4493261
Austria,AUT,2019,4512394
Austria,AUT,2020,4532324
Austria,AUT,2021,4555073
Austria,AUT,2022,4603975
Austria,AUT,2023,4636398
Bahamas,BHS,1950,44389
Bahamas,BHS,1951,44908
Bahamas,BHS,1952,45684
Bahamas,BHS,1953,46709
Bahamas,BHS,1954,47970
Bahamas,BHS,1955,49427
Bahamas,BHS,1956,51083
Bahamas,BHS,1957,52912
Bahamas,BHS,1958,54926
Bahamas,BHS,1959,57140
Bahamas,BHS,1960,59546
Bahamas,BHS,1961,62159
Bahamas,BHS,1962,64957
Bahamas,BHS,1963,67883
Bahamas,BHS,1964,70856
Bahamas,BHS,1965,73935
Bahamas,BHS,1966,77242
Bahamas,BHS,1967,80760
Bahamas,BHS,1968,84478
Bahamas,BHS,1969,88239
Bahamas,BHS,1970,91556
Bahamas,BHS,1971,94358
Bahamas,BHS,1972,96907
Bahamas,BHS,1973,99290
Bahamas,BHS,1974,101594
Bahamas,BHS,1975,103872
Bahamas,BHS,1976,106163
Bahamas,BHS,1977,108452
Bahamas,BHS,1978,110729
Bahamas,BHS,1979,112939
Bahamas,BHS,1980,115144
Bahamas,BHS,1981,117292
Bahamas,BHS,1982,119385
Bahamas,BHS,1983,121533
Bahamas,BHS,1984,123737
Bahamas,BHS,1985,126029
Bahamas,BHS,1986,128375
Bahamas,BHS,1987,130726
Bahamas,BHS,1988,133132
Bahamas,BHS,1989,135662
Bahamas,BHS,1990,138201
Bahamas,BHS,1991,140740
Bahamas,BHS,1992,143504
Bahamas,BHS,1993,146371
Bahamas,BHS,1994,149124
Bahamas,BHS,1995,151789
Bahamas,BHS,1996,154384
Bahamas,BHS,1997,156892
Bahamas,BHS,1998,159319
Bahamas,BHS,1999,161645
Bahamas,BHS,2000,163965
Bahamas,BHS,2001,166168
Bahamas,BHS,2002,168248
Bahamas,BHS,2003,170489
Bahamas,BHS,2004,172843
Bahamas,BHS,2005,175146
Bahamas,BHS,2006,177702
Bahamas,BHS,2007,180560
Bahamas,BHS,2008,183319
Bahamas,BHS,2009,186052
Bahamas,BHS,2010,188784
Bahamas,BHS,2011,191302
Bahamas,BHS,2012,193490
Bahamas,BHS,2013,195534
Bahamas,BHS,2014,197501
Bahamas,BHS,2015,199334
Bahamas,BHS,2016,200992
Bahamas,BHS,2017,202512
Bahamas,BHS,2018,203937
Bahamas,BHS,2019,205191
Bahamas,BHS,2020,205991
Bahamas,BHS,2021,206469
Bahamas,BHS,2022,207307
Bahamas,BHS,2023,208541
Bangladesh,BGD,1950,19691991
Bangladesh,BGD,1951,20095866
Bangladesh,BGD,1952,20524551
Bangladesh,BGD,1953,20964893
Bangladesh,BGD,1954,21429080
Bangladesh,BGD,1955,21929744
Bangladesh,BGD,1956,22459167
Bangladesh,BGD,1957,23019005
Bangladesh,BGD,1958,23592209
Bangladesh,BGD,1959,24203524
Bangladesh,BGD,1960,24878244
Bangladesh,BGD,1961,25598812
Bangladesh,BGD,1962,26362882
Bangladesh,BGD,1963,27151733
Bangladesh,BGD,1964,27964909
Bangladesh,BGD,1965,28801090
Bangladesh,BGD,1966,29657622
Bangladesh,BGD,1967,30551513
Bangladesh,BGD,1968,31472068
Bangladesh,BGD,1969,32385389
Bangladesh,BGD,1970,33225900
Bangladesh,BGD,1971,33947034
Bangladesh,BGD,1972,34750173
Bangladesh,BGD,1973,35753987
Bangladesh,BGD,1974,36776231
Bangladesh,BGD,1975,37762360
Bangladesh,BGD,1976,38756727
Bangladesh,BGD,1977,39758252
Bangladesh,BGD,1978,40766282
Bangladesh,BGD,1979,41786810
Bangladesh,BGD,1980,42826188
Bangladesh,BGD,1981,43957973
Bangladesh,BGD,1982,45189096
Bangladesh,BGD,1983,46424539
Bangladesh,BGD,1984,47644187
Bangladesh,BGD,1985,48847562
Bangladesh,BGD,1986,50025292
Bangladesh,BGD,1987,51175862
Bangladesh,BGD,1988,52294639
Bangladesh,BGD,1989,53396567
Bangladesh,BGD,1990,54491179
Bangladesh,BGD,1991,55554460
Bangladesh,BGD,1992,56627786
Bangladesh,BGD,1993,57723361
Bangladesh,BGD,1994,58836292
Bangladesh,BGD,1995,59975539
Bangladesh,BGD,1996,61123899
Bangladesh,BGD,1997,62313586
Bangladesh,BGD,1998,63548945
Bangladesh,BGD,1999,64815862
Bangladesh,BGD,2000,66067195
Bangladesh,BGD,2001,67278618
Bangladesh,BGD,2002,68468236
Bangladesh,BGD,2003,69625318
Bangladesh,BGD,2004,70743201
Bangladesh,BGD,2005,71813210
Bangladesh,BGD,2006,72831946
Bangladesh,BGD,2007,73805303
Bangladesh,BGD,2008,74736651
Bangladesh,BGD,2009,75629878
Bangladesh,BGD,2010,76487610
Bangladesh,BGD,2011,77354273
Bangladesh,BGD,2012,78243631
Bangladesh,BGD,2013,79124503
Bangladesh,BGD,2014,79993268
Bangladesh,BGD,2015,80855115
Bangladesh,BGD,2016,81720325
Bangladesh,BGD,2017,82462268
Bangladesh,BGD,2018,83091993
Bangladesh,BGD,2019,83750868
Bangladesh,BGD,2020,84419152
Bangladesh,BGD,2021,85086511
Bangladesh,BGD,2022,85985502
Bangladesh,BGD,2023,87109281
Belgium,BEL,1950,4372283
Belgium,BEL,1951,4394385
Belgium,BEL,1952,4417574
Belgium,BEL,1953,4442940
Belgium,BEL,1954,4469090
Belgium,BEL,1955,4495736
Belgium,BEL,1956,4522325
Belgium,BEL,1957,4550089
Belgium,BEL,1958,4579853
Belgium,BEL,1959,4612440
Belgium,BEL,1960,4643873
Belgium,BEL,1961,4675331
Belgium,BEL,1962,4706860
Belgium,BEL,1963,4736000
Belgium,BEL,1964,4767762
Belgium,BEL,1965,4799447
Belgium,BEL,1966,4827637
Belgium,BEL,1967,4853706
Belgium,BEL,1968,4876354
Belgium,BEL,1969,4897105
Belgium,BEL,1970,4918630
Belgium,BEL,1971,4937575
Belgium,BEL,1972,4953106
Belgium,BEL,1973,4966045
Belgium,BEL,1974,4975971
Belgium,BEL,1975,4983134
Belgium,BEL,1976,4989186
Belgium,BEL,1977,4997693
Belgium,BEL,1978,5007441
Belgium,BEL,1979,5017787
Belgium,BEL,1980,5029369
Belgium,BEL,1981,5039021
Belgium,BEL,1982,5045400
Belgium,BEL,1983,5048934
Belgium,BEL,1984,5051901
Belgium,BEL,1985,5055210
Belgium,BEL,1986,5058397
Belgium,BEL,1987,5064014
Belgium,BEL,1988,5072548
Belgium,BEL,1989,5081995
Belgium,BEL,1990,5093735
Belgium,BEL,1991,5111928
Belgium,BEL,1992,5134085
Belgium,BEL,1993,5152747
Belgium,BEL,1994,5168285
Belgium,BEL,1995,5180293
Belgium,BEL,1996,5191531
Belgium,BEL,1997,5204162
Belgium,BEL,1998,5214940
Belgium,BEL,1999,5226708
Belgium,BEL,2000,5239525
Belgium,BEL,2001,5256681
Belgium,BEL,2002,5278267
Belgium,BEL,2003,5299119
Belgium,BEL,2004,5321905
Belgium,BEL,2005,5351097
Belgium,BEL,2006,5385571
Belgium,BEL,2007,5422990
Belgium,BEL,2008,5463571
Belgium,BEL,2009,5511663
Belgium,BEL,2010,5568789
Belgium,BEL,2011,5617272
Belgium,BEL,2012,5650513
Belgium,BEL,2013,5676425
Belgium,BEL,2014,5700648
Belgium,BEL,2015,5728080
Belgium,BEL,2016,5752765
Belgium,BEL,2017,5774108
Belgium,BEL,2018,5798249
Belgium,BEL,2019,5826669
Belgium,BEL,2020,5848371
Belgium,BEL,2021,5865318
Belgium,BEL,2022,5904214
Belgium,BEL,2023,5939330
Bhutan,BTN,1950,82710
Bhutan,BTN,1951,84897
Bhutan,BTN,1952,87158
Bhutan,BTN,1953,89492
Bhutan,BTN,1954,91906
Bhutan,BTN,1955,94401
Bhutan,BTN,1956,96977
Bhutan,BTN,1957,99643
Bhutan,BTN,1958,102401
Bhutan,BTN,1959,105251
Bhutan,BTN,1960,108202
Bhutan,BTN,1961,111277
Bhutan,BTN,1962,114552
Bhutan,BTN,1963,118039
Bhutan,BTN,1964,121676
Bhutan,BTN,1965,125492
Bhutan,BTN,1966,129500
Bhutan,BTN,1967,133699
Bhutan,BTN,1968,138096
Bhutan,BTN,1969,142706
Bhutan,BTN,1970,147505
Bhutan,BTN,1971,152486
Bhutan,BTN,1972,157655
Bhutan,BTN,1973,163018
Bhutan,BTN,1974,168578
Bhutan,BTN,1975,174343
Bhutan,BTN,1976,180332
Bhutan,BTN,1977,186545
Bhutan,BTN,1978,192985
Bhutan,BTN,1979,199610
Bhutan,BTN,1980,206404
Bhutan,BTN,1981,213333
Bhutan,BTN,1982,220407
Bhutan,BTN,1983,227660
Bhutan,BTN,1984,235088
Bhutan,BTN,1985,242668
Bhutan,BTN,1986,250429
Bhutan,BTN,1987,258357
Bhutan,BTN,1988,266403
Bhutan,BTN,1989,274563
Bhutan,BTN,1990,282382
Bhutan,BTN,1991,287805
Bhutan,BTN,1992,277611
Bhutan,BTN,1993,266872
Bhutan,BTN,1994,267093
Bhutan,BTN,1995,264260
Bhutan,BTN,1996,264928
Bhutan,BTN,1997,269989
Bhutan,BTN,1998,275416
Bhutan,BTN,1999,280749
Bhutan,BTN,2000,285391
Bhutan,BTN,2001,289818
Bhutan,BTN,2002,294055
Bhutan,BTN,2003,298102
Bhutan,BTN,2004,301984
Bhutan,BTN,2005,305832
Bhutan,BTN,2006,309670
Bhutan,BTN,2007,313430
Bhutan,BTN,2008,317102
Bhutan,BTN,2009,320671
Bhutan,BTN,2010,324227
Bhutan,BTN,2011,327784
Bhutan,BTN,2012,331398
Bhutan,BTN,2013,335042
Bhutan,BTN,2014,338609
Bhutan,BTN,2015,341961
Bhutan,BTN,2016,345127
Bhutan,BTN,2017,348252
Bhutan,BTN,2018,351198
Bhutan,BTN,2019,353970
Bhutan,BTN,2020,356806
Bhutan,BTN,2021,359759
Bhutan,BTN,2022,362735
Bhutan,BTN,2023,365711
Bolivia,BOL,1950,1566976
Bolivia,BOL,1951,1591512
Bolivia,BOL,1952,1617495
Bolivia,BOL,1953,1644950
Bolivia,BOL,1954,1673954
Bolivia,BOL,1955,1704549
Bolivia,BOL,1956,1736674
Bolivia,BOL,1957,1770264
Bolivia,BOL,1958,1805240
Bolivia,BOL,1959,1841501
Bolivia,BOL,1960,1878990
Bolivia,BOL,1961,1917589
Bolivia,BOL,1962,1957298
Bolivia,BOL,1963,1998256
Bolivia,BOL,1964,2040530
Bolivia,BOL,1965,2084130
Bolivia,BOL,1966,2129200
Bolivia,BOL,1967,2175850
Bolivia,BOL,1968,2224107
Bolivia,BOL,1969,2273709
Bolivia,BOL,1970,2324500
Bolivia,BOL,1971,2376503
Bolivia,BOL,1972,2429511
Bolivia,BOL,1973,2483696
Bolivia,BOL,1974,2539331
Bolivia,BOL,1975,2596255
Bolivia,BOL,1976,2655055
Bolivia,BOL,1977,2715602
Bolivia,BOL,1978,2777177
Bolivia,BOL,1979,2839499
Bolivia,BOL,1980,2902387
Bolivia,BOL,1981,2965823
Bolivia,BOL,1982,3029571
Bolivia,BOL,1983,3093814
Bolivia,BOL,1984,3159032
Bolivia,BOL,1985,3224988
Bolivia,BOL,1986,3291881
Bolivia,BOL,1987,3360466
Bolivia,BOL,1988,3430910
Bolivia,BOL,1989,3502907
Bolivia,BOL,1990,3575984
Bolivia,BOL,1991,3649880
Bolivia,BOL,1992,3723738
Bolivia,BOL,1993,3793884
Bolivia,BOL,1994,3860549
Bolivia,BOL,1995,3926915
Bolivia,BOL,1996,3993152
Bolivia,BOL,1997,4058977
Bolivia,BOL,1998,4124606
Bolivia,BOL,1999,4190926
Bolivia,BOL,2000,4257610
