Entity,Code,Year,Population - Sex: male - Age: all - Variant: estimates
Austria,AUT,1972,3562331
Austria,AUT,1973,3587088
Austria,AUT,1974,3593684
Austria,AUT,1975,3580304
Austria,AUT,1976,3572383
Austria,AUT,1977,3574645
Austria,AUT,1978,3572129
Austria,AUT,1979,3565765
Austria,AUT,1980,3566955
Austria,AUT,1981,3579982
Austria,AUT,1982,3586161
Austria,AUT,1983,3582793
Austria,AUT,1984,3585577
Austria,AUT,1985,3591061
Austria,AUT,1986,3598209
Austria,AUT,1987,3605486
Austria,AUT,1988,3616070
Austria,AUT,1989,3639417
Austria,AUT,1990,3676260
Austria,AUT,1991,3722281
Austria,AUT,1992,3770711
Austria,AUT,1993,3807836
Austria,AUT,1994,3826945
Austria,AUT,1995,3835042
Austria,AUT,1996,3841399
Austria,AUT,1997,3846955
Austria,AUT,1998,3852834
Austria,AUT,1999,3862796
Austria,AUT,2000,3875271
Austria,AUT,2001,3894015
Austria,AUT,2002,3918166
Austria,AUT,2003,3941544
Austria,AUT,2004,3969281
Austria,AUT,2005,4000089
Austria,AUT,2006,4022625
Austria,AUT,2007,4036770
Austria,AUT,2008,4050327
Austria,AUT,2009,4062236
Austria,AUT,2010,4073188
Austria,AUT,2011,4089114
Austria,AUT,2012,4111498
Austria,AUT,2013,4140099
Austria,AUT,2014,4178459
Austria,AUT,2015,4237047
Austria,AUT,2016,4293103
Austria,AUT,2017,4326091
Austria,AUT,2018,4348396
Austria,AUT,2019,4368488
Austria,AUT,2020,4389085
Austria,AUT,2021,4411995
Austria,AUT,2022,4460696
Austria,AUT,2023,4494039
Bahamas,BHS,1950,39140
Bahamas,BHS,1951,39718
Bahamas,BHS,1952,40524
Bahamas,BHS,1953,41572
Bahamas,BHS,1954,42889
Bahamas,BHS,1955,44532
Bahamas,BHS,1956,46454
Bahamas,BHS,1957,48662
Bahamas,BHS,1958,51110
Bahamas,BHS,1959,53815
Bahamas,BHS,1960,56806
Bahamas,BHS,1961,60075
Bahamas,BHS,1962,63570
Bahamas,BHS,1963,67236
Bahamas,BHS,1964,70704
Bahamas,BHS,1965,74054
Bahamas,BHS,1966,77665
Bahamas,BHS,1967,81539
Bahamas,BHS,1968,85644
Bahamas,BHS,1969,89773
Bahamas,BHS,1970,93453
Bahamas,BHS,1971,96530
Bahamas,BHS,1972,99178
Bahamas,BHS,1973,101533
Bahamas,BHS,1974,103786
Bahamas,BHS,1975,106042
Bahamas,BHS,1976,108367
Bahamas,BHS,1977,110731
Bahamas,BHS,1978,113070
Bahamas,BHS,1979,115323
Bahamas,BHS,1980,117417
Bahamas,BHS,1981,119355
Bahamas,BHS,1982,121253
Bahamas,BHS,1983,123190
Bahamas,BHS,1984,125157
Bahamas,BHS,1985,127155
Bahamas,BHS,1986,129188
Bahamas,BHS,1987,131243
Bahamas,BHS,1988,133341
Bahamas,BHS,1989,135538
Bahamas,BHS,1990,137765
Bahamas,BHS,1991,140013
Bahamas,BHS,1992,142439
Bahamas,BHS,1993,144991
Bahamas,BHS,1994,147408
Bahamas,BHS,1995,149699
Bahamas,BHS,1996,151906
Bahamas,BHS,1997,154029
Bahamas,BHS,1998,156074
Bahamas,BHS,1999,158000
Bahamas,BHS,2000,159894
Bahamas,BHS,2001,161688
Bahamas,BHS,2002,163386
Bahamas,BHS,2003,165154
Bahamas,BHS,2004,166969
Bahamas,BHS,2005,168767
Bahamas,BHS,2006,170699
Bahamas,BHS,2007,172792
Bahamas,BHS,2008,174815
Bahamas,BHS,2009,176790
Bahamas,BHS,2010,178707
Bahamas,BHS,2011,180455
Bahamas,BHS,2012,182000
Bahamas,BHS,2013,183446
Bahamas,BHS,2014,184806
Bahamas,BHS,2015,186044
Bahamas,BHS,2016,187084
Bahamas,BHS,2017,187994
Bahamas,BHS,2018,188801
Bahamas,BHS,2019,189501
Bahamas,BHS,2020,189885
Bahamas,BHS,2021,189931
Bahamas,BHS,2022,190251
Bahamas,BHS,2023,190916
Bangladesh,BGD,1950,21514873
Bangladesh,BGD,1951,21926439
Bangladesh,BGD,1952,22368466
Bangladesh,BGD,1953,22826507
Bangladesh,BGD,1954,23312230
Bangladesh,BGD,1955,23837949
Bangladesh,BGD,1956,24395253
Bangladesh,BGD,1957,24985664
Bangladesh,BGD,1958,25591850
Bangladesh,BGD,1959,26238238
Bangladesh,BGD,1960,26950425
Bangladesh,BGD,1961,27711544
Bangladesh,BGD,1962,28518271
Bangladesh,BGD,1963,29352670
Bangladesh,BGD,1964,30213468
Bangladesh,BGD,1965,31101432
Bangladesh,BGD,1966,32012194
Bangladesh,BGD,1967,32959417
Bangladesh,BGD,1968,33936212
Bangladesh,BGD,1969,34908751
Bangladesh,BGD,1970,35832998
Bangladesh,BGD,1971,36329735
Bangladesh,BGD,1972,36891348
Bangladesh,BGD,1973,37968309
Bangladesh,BGD,1974,39063123
Bangladesh,BGD,1975,40092002
Bangladesh,BGD,1976,41098602
Bangladesh,BGD,1977,42109015
Bangladesh,BGD,1978,43123378
Bangladesh,BGD,1979,44148275
Bangladesh,BGD,1980,45190247
Bangladesh,BGD,1981,46345128
Bangladesh,BGD,1982,47625429
Bangladesh,BGD,1983,48910619
Bangladesh,BGD,1984,50170776
Bangladesh,BGD,1985,51406265
Bangladesh,BGD,1986,52610275
Bangladesh,BGD,1987,53783430
Bangladesh,BGD,1988,54921373
Bangladesh,BGD,1989,56037229
Bangladesh,BGD,1990,57142544
Bangladesh,BGD,1991,58232652
Bangladesh,BGD,1992,59324413
Bangladesh,BGD,1993,60408998
Bangladesh,BGD,1994,61506888
Bangladesh,BGD,1995,62624825
Bangladesh,BGD,1996,63738274
Bangladesh,BGD,1997,64884484
Bangladesh,BGD,1998,66073397
Bangladesh,BGD,1999,67292208
Bangladesh,BGD,2000,68477118
Bangladesh,BGD,2001,69527207
Bangladesh,BGD,2002,70465420
Bangladesh,BGD,2003,71345038
Bangladesh,BGD,2004,72159664
Bangladesh,BGD,2005,72902573
Bangladesh,BGD,2006,73574032
Bangladesh,BGD,2007,74183977
Bangladesh,BGD,2008,74737614
Bangladesh,BGD,2009,75243833
Bangladesh,BGD,2010,75714371
Bangladesh,BGD,2011,76236817
Bangladesh,BGD,2012,76826479
Bangladesh,BGD,2013,77407628
Bangladesh,BGD,2014,77971663
Bangladesh,BGD,2015,78528056
Bangladesh,BGD,2016,79091611
Bangladesh,BGD,2017,79723872
Bangladesh,BGD,2018,80431111
Bangladesh,BGD,2019,81162194
Bangladesh,BGD,2020,81878878
Bangladesh,BGD,2021,82572339
Bangladesh,BGD,2022,83399399
Bangladesh,BGD,2023,84357719
Belgium,BEL,1950,4245159
Belgium,BEL,1951,4261377
Belgium,BEL,1952,4279063
Belgium,BEL,1953,4298916
Belgium,BEL,1954,4319301
Belgium,BEL,1955,4339760
Belgium,BEL,1956,4359840
Belgium,BEL,1957,4381774
Belgium,BEL,1958,4406267
Belgium,BEL,1959,4433302
Belgium,BEL,1960,4458310
Belgium,BEL,1961,4482885
Belgium,BEL,1962,4510818
Belgium,BEL,1963,4539204
Belgium,BEL,1964,4569922
Belgium,BEL,1965,4600413
Belgium,BEL,1966,4627377
Belgium,BEL,1967,4652218
Belgium,BEL,1968,4673341
Belgium,BEL,1969,4692085
Belgium,BEL,1970,4711886
Belgium,BEL,1971,4728959
Belgium,BEL,1972,4741759
Belgium,BEL,1973,4751998
Belgium,BEL,1974,4759842
Belgium,BEL,1975,4765344
Belgium,BEL,1976,4769721
Belgium,BEL,1977,4776323
Belgium,BEL,1978,4784378
Belgium,BEL,1979,4793568
Belgium,BEL,1980,4803728
Belgium,BEL,1981,4811652
Belgium,BEL,1982,4816927
Belgium,BEL,1983,4820202
Belgium,BEL,1984,4822687
Belgium,BEL,1985,4825126
Belgium,BEL,1986,4828595
Belgium,BEL,1987,4835139
Belgium,BEL,1988,4844030
Belgium,BEL,1989,4854585
Belgium,BEL,1990,4867244
Belgium,BEL,1991,4887036
Belgium,BEL,1992,4911914
Belgium,BEL,1993,4932180
Belgium,BEL,1994,4947713
Belgium,BEL,1995,4956973
Belgium,BEL,1996,4965447
Belgium,BEL,1997,4977302
Belgium,BEL,1998,4988236
Belgium,BEL,1999,4999961
Belgium,BEL,2000,5012189
Belgium,BEL,2001,5030331
Belgium,BEL,2002,5054709
Belgium,BEL,2003,5077154
Belgium,BEL,2004,5099396
Belgium,BEL,2005,5127790
Belgium,BEL,2006,5162873
Belgium,BEL,2007,5202499
Belgium,BEL,2008,5246149
Belgium,BEL,2009,5301272
Belgium,BEL,2010,5367833
Belgium,BEL,2011,5421359
Belgium,BEL,2012,5457003
Belgium,BEL,2013,5483853
Belgium,BEL,2014,5509470
Belgium,BEL,2015,5547260
Belgium,BEL,2016,5579927
Belgium,BEL,2017,5602465
Belgium,BEL,2018,5630358
Belgium,BEL,2019,5663952
Belgium,BEL,2020,5691736
Belgium,BEL,2021,5705524
Belgium,BEL,2022,5737608
Belgium,BEL,2023,5773559
Bhutan,BTN,1950,87300
Bhutan,BTN,1951,89734
Bhutan,BTN,1952,92255
Bhutan,BTN,1953,94868
Bhutan,BTN,1954,97574
Bhutan,BTN,1955,100378
Bhutan,BTN,1956,103284
Bhutan,BTN,1957,106289
Bhutan,BTN,1958,109384
Bhutan,BTN,1959,112593
Bhutan,BTN,1960,115914
Bhutan,BTN,1961,119355
Bhutan,BTN,1962,123111
Bhutan,BTN,1963,127143
Bhutan,BTN,1964,131334
Bhutan,BTN,1965,135740
Bhutan,BTN,1966,140346
Bhutan,BTN,1967,145177
Bhutan,BTN,1968,150241
Bhutan,BTN,1969,155536
Bhutan,BTN,1970,161055
Bhutan,BTN,1971,166745
Bhutan,BTN,1972,172631
Bhutan,BTN,1973,178708
Bhutan,BTN,1974,184982
Bhutan,BTN,1975,191466
Bhutan,BTN,1976,198180
Bhutan,BTN,1977,205120
Bhutan,BTN,1978,212291
Bhutan,BTN,1979,219612
Bhutan,BTN,1980,227019
Bhutan,BTN,1981,234520
Bhutan,BTN,1982,242095
Bhutan,BTN,1983,249826
Bhutan,BTN,1984,257717
Bhutan,BTN,1985,265748
Bhutan,BTN,1986,273917
Bhutan,BTN,1987,282216
Bhutan,BTN,1988,290599
Bhutan,BTN,1989,299038
Bhutan,BTN,1990,306920
Bhutan,BTN,1991,311993
Bhutan,BTN,1992,300178
Bhutan,BTN,1993,287821
Bhutan,BTN,1994,287421
Bhutan,BTN,1995,283746
Bhutan,BTN,1996,283871
Bhutan,BTN,1997,288723
Bhutan,BTN,1998,294038
Bhutan,BTN,1999,301851
Bhutan,BTN,2000,311490
Bhutan,BTN,2001,320995
Bhutan,BTN,2002,330366
Bhutan,BTN,2003,339576
Bhutan,BTN,2004,348574
Bhutan,BTN,2005,356052
Bhutan,BTN,2006,361154
Bhutan,BTN,2007,365219
Bhutan,BTN,2008,369274
Bhutan,BTN,2009,373325
Bhutan,BTN,2010,377420
Bhutan,BTN,2011,381608
Bhutan,BTN,2012,385896
Bhutan,BTN,2013,390249
Bhutan,BTN,2014,394543
Bhutan,BTN,2015,398680
Bhutan,BTN,2016,402745
Bhutan,BTN,2017,406102
Bhutan,BTN,2018,408582
Bhutan,BTN,2019,410869
Bhutan,BTN,2020,413220
Bhutan,BTN,2021,415702
Bhutan,BTN,2022,418199
Bhutan,BTN,2023,420693
Bolivia,BOL,1950,1523001
Bolivia,BOL,1951,1545794
Bolivia,BOL,1952,1570054
Bolivia,BOL,1953,1596032
Bolivia,BOL,1954,1623898
Bolivia,BOL,1955,1653461
Bolivia,BOL,1956,1684682
Bolivia,BOL,1957,1717312
Bolivia,BOL,1958,1751333
Bolivia,BOL,1959,1786701
Bolivia,BOL,1960,1823334
Bolivia,BOL,1961,1861143
Bolivia,BOL,1962,1900209
Bolivia,BOL,1963,1940661
Bolivia,BOL,1964,1982474
Bolivia,BOL,1965,2025666
Bolivia,BOL,1966,2070350
Bolivia,BOL,1967,2116732
Bolivia,BOL,1968,2164852
Bolivia,BOL,1969,2214530
Bolivia,BOL,1970,2265524
Bolivia,BOL,1971,2317848
Bolivia,BOL,1972,2371480
Bolivia,BOL,1973,2426510
Bolivia,BOL,1974,2483160
Bolivia,BOL,1975,2541286
Bolivia,BOL,1976,2601452
Bolivia,BOL,1977,2663570
Bolivia,BOL,1978,2726947
Bolivia,BOL,1979,2791365
Bolivia,BOL,1980,2856522
Bolivia,BOL,1981,2922308
Bolivia,BOL,1982,2988525
Bolivia,BOL,1983,3055256
Bolivia,BOL,1984,3122845
Bolivia,BOL,1985,3191208
Bolivia,BOL,1986,3260607
Bolivia,BOL,1987,3331701
Bolivia,BOL,1988,3404605
Bolivia,BOL,1989,3478871
Bolivia,BOL,1990,3554162
Bolivia,BOL,1991,3630418
Bolivia,BOL,1992,3706606
Bolivia,BOL,1993,3785318
Bolivia,BOL,1994,3866783
Bolivia,BOL,1995,3947768
Bolivia,BOL,1996,4028592
Bolivia,BOL,1997,4108923
Bolivia,BOL,1998,4188790
Bolivia,BOL,1999,4268900
Bolivia,BOL,2000,4348726
