Entity,Code,Year,Population - Sex: male - Age: all - Variant: estimates
Afghanistan,AFG,1950,4118847
Afghanistan,AFG,1951,4164122
Afghanistan,AFG,1952,4211942
Afghanistan,AFG,1953,4259921
Afghanistan,AFG,1954,4309197
Afghanistan,AFG,1955,4362588
Afghanistan,AFG,1956,4420327
Afghanistan,AFG,1957,4481744
Afghanistan,AFG,1958,4543890
Afghanistan,AFG,1959,4611825
Afghanistan,AFG,1960,4690249
Afghanistan,AFG,1961,4775681
Afghanistan,AFG,1962,4867118
Afghanistan,AFG,1963,4963703
Afghanistan,AFG,1964,5065416
Afghanistan,AFG,1965,5173294
Afghanistan,AFG,1966,5285657
Afghanistan,AFG,1967,5402773
Afghanistan,AFG,1968,5525929
Afghanistan,AFG,1969,5654149
Afghanistan,AFG,1970,5788698
Afghanistan,AFG,1971,5925773
Afghanistan,AFG,1972,6067254
Afghanistan,AFG,1973,6218249
Afghanistan,AFG,1974,6372907
Afghanistan,AFG,1975,6524499
Afghanistan,AFG,1976,6666603
Afghanistan,AFG,1977,6806365
Afghanistan,AFG,1978,6939642
Afghanistan,AFG,1979,6954361
Afghanistan,AFG,1980,6697579
Afghanistan,AFG,1981,6062433
Afghanistan,AFG,1982,5570572
Afghanistan,AFG,1983,5520173
Afghanistan,AFG,1984,5639768
Afghanistan,AFG,1985,5736480
Afghanistan,AFG,1986,5717134
Afghanistan,AFG,1987,5691605
Afghanistan,AFG,1988,5753398
Afghanistan,AFG,1989,5926632
Afghanistan,AFG,1990,6011175
Afghanistan,AFG,1991,6106546
Afghanistan,AFG,1992,6624217
Afghanistan,AFG,1993,7456718
Afghanistan,AFG,1994,8113906
Afghanistan,AFG,1995,8525668
Afghanistan,AFG,1996,8880574
Afghanistan,AFG,1997,9232075
Afghanistan,AFG,1998,9593057
Afghanistan,AFG,1999,9964826
Afghanistan,AFG,2000,10094650
Afghanistan,AFG,2001,10179792
Afghanistan,AFG,2002,10737200
Afghanistan,AFG,2003,11426688
Afghanistan,AFG,2004,11851537
Afghanistan,AFG,2005,12284660
Afghanistan,AFG,2006,12805494
Afghanistan,AFG,2007,13056364
Afghanistan,AFG,2008,13350886
Afghanistan,AFG,2009,13853161
Afghanistan,AFG,2010,14272313
Afghanistan,AFG,2011,14815167
Afghanistan,AFG,2012,15432894
Afghanistan,AFG,2013,15974954
Afghanistan,AFG,2014,16570682
Afghanistan,AFG,2015,17099522
Afghanistan,AFG,2016,17541316
Afghanistan,AFG,2017,18038996
Afghanistan,AFG,2018,18564623
Afghanistan,AFG,2019,19119647
Afghanistan,AFG,2020,19725454
Afghanistan,AFG,2021,20186451
Afghanistan,AFG,2022,20475679
Afghanistan,AFG,2023,20924079
Albania,ALB,1950,638742
Albania,ALB,1951,650474
Albania,ALB,1952,664222
Albania,ALB,1953,679770
Albania,ALB,1954,696515
Albania,ALB,1955,713588
Albania,ALB,1956,732076
Albania,ALB,1957,753291
Albania,ALB,1958,777035
Albania,ALB,1959,803201
Albania,ALB,1960,830781
Albania,ALB,1961,855987
Albania,ALB,1962,879237
Albania,ALB,1963,903803
Albania,ALB,1964,929646
Albania,ALB,1965,956819
Albania,ALB,1966,985367
Albania,ALB,1967,1015184
Albania,ALB,1968,1045709
Albania,ALB,1969,1075167
Albania,ALB,1970,1103115
Albania,ALB,1971,1130891
Albania,ALB,1972,1158908
Albania,ALB,1973,1187153
Albania,ALB,1974,1215598
Albania,ALB,1975,1244056
Albania,ALB,1976,1272579
Albania,ALB,1977,1301229
Albania,ALB,1978,1330748
Albania,ALB,1979,1359240
Albania,ALB,1980,1386114
Albania,ALB,1981,1413422
Albania,ALB,1982,1441311
Albania,ALB,1983,1469868
Albania,ALB,1984,1499067
Albania,ALB,1985,1528800
Albania,ALB,1986,1558477
Albania,ALB,1987,1588044
Albania,ALB,1988,1619048
Albania,ALB,1989,1640921
Albania,ALB,1990,1646666
Albania,ALB,1991,1645455
Albania,ALB,1992,1641619
Albania,ALB,1993,1635191
Albania,ALB,1994,1626660
Albania,ALB,1995,1616711
Albania,ALB,1996,1605553
Albania,ALB,1997,1592627
Albania,ALB,1998,1577830
Albania,ALB,1999,1562052
Albania,ALB,2000,1545780
Albania,ALB,2001,1534708
Albania,ALB,2002,1530015
Albania,ALB,2003,1525218
Albania,ALB,2004,1518566
Albania,ALB,2005,1510218
Albania,ALB,2006,1500230
Albania,ALB,2007,1488773
Albania,ALB,2008,1476169
Albania,ALB,2009,1462731
Albania,ALB,2010,1448523
Albania,ALB,2011,1440900
Albania,ALB,2012,1440028
Albania,ALB,2013,1438749
Albania,ALB,2014,1436874
Albania,ALB,2015,1434403
Albania,ALB,2016,1434135
Albania,ALB,2017,1434446
Albania,ALB,2018,1432571
Albania,ALB,2019,1428170
Albania,ALB,2020,1421411
Albania,ALB,2021,1409659
Albania,ALB,2022,1398267
Albania,ALB,2023,1390115
Algeria,DZA,1950,4612833
Algeria,DZA,1951,4738424
Algeria,DZA,1952,4864181
Algeria,DZA,1953,4990259
Algeria,DZA,1954,5107092
Algeria,DZA,1955,5215209
Algeria,DZA,1956,5324464
Algeria,DZA,1957,5434262
Algeria,DZA,1958,5544733
Algeria,DZA,1959,5655355
Algeria,DZA,1960,5765865
Algeria,DZA,1961,5876178
Algeria,DZA,1962,5986363
Algeria,DZA,1963,6106010
Algeria,DZA,1964,6242001
Algeria,DZA,1965,6377640
Algeria,DZA,1966,6512387
Algeria,DZA,1967,6657208
Algeria,DZA,1968,6807723
Algeria,DZA,1969,6961933
Algeria,DZA,1970,7118521
Algeria,DZA,1971,7278887
Algeria,DZA,1972,7445685
Algeria,DZA,1973,7620324
Algeria,DZA,1974,7803945
Algeria,DZA,1975,8087814
Algeria,DZA,1976,8476716
Algeria,DZA,1977,8794100
Algeria,DZA,1978,9041581
Algeria,DZA,1979,9309761
Algeria,DZA,1980,9599575
Algeria,DZA,1981,9912523
Algeria,DZA,1982,10246236
Algeria,DZA,1983,10599378
Algeria,DZA,1984,10968696
Algeria,DZA,1985,11350880
Algeria,DZA,1986,11733260
Algeria,DZA,1987,12092646
Algeria,DZA,1988,12433629
Algeria,DZA,1989,12762970
Algeria,DZA,1990,13078806
Algeria,DZA,1991,13389422
Algeria,DZA,1992,13717908
Algeria,DZA,1993,14054100
Algeria,DZA,1994,14370991
Algeria,DZA,1995,14674884
Algeria,DZA,1996,14970669
Algeria,DZA,1997,15260838
Algeria,DZA,1998,15505039
Algeria,DZA,1999,15712157
Algeria,DZA,2000,15925100
Algeria,DZA,2001,16136099
Algeria,DZA,2002,16342423
Algeria,DZA,2003,16551160
Algeria,DZA,2004,16774174
Algeria,DZA,2005,17011026
Algeria,DZA,2006,17264374
Algeria,DZA,2007,17545719
Algeria,DZA,2008,17861447
Algeria,DZA,2009,18202094
Algeria,DZA,2010,18554456
Algeria,DZA,2011,18914433
Algeria,DZA,2012,19287280
Algeria,DZA,2013,19672222
Algeria,DZA,2014,20068370
Algeria,DZA,2015,20476387
Algeria,DZA,2016,20894166
Algeria,DZA,2017,21316230
Algeria,DZA,2018,21724799
Algeria,DZA,2019,22118794
Algeria,DZA,2020,22490321
Algeria,DZA,2021,22848428
Algeria,DZA,2022,23206877
Algeria,DZA,2023,23549236
Argentina,ARG,1950,8669611
Argentina,ARG,1951,8822881
Argentina,ARG,1952,8979233
Argentina,ARG,1953,9135398
Argentina,ARG,1954,9290591
Argentina,ARG,1955,9443614
Argentina,ARG,1956,9596222
Argentina,ARG,1957,9749024
Argentina,ARG,1958,9901500
Argentina,ARG,1959,10056198
Argentina,ARG,1960,10210518
Argentina,ARG,1961,10368907
Argentina,ARG,1962,10532892
Argentina,ARG,1963,10698055
Argentina,ARG,1964,10862198
Argentina,ARG,1965,11023954
Argentina,ARG,1966,11185119
Argentina,ARG,1967,11348118
Argentina,ARG,1968,11513358
Argentina,ARG,1969,11680917
Argentina,ARG,1970,11854487
Argentina,ARG,1971,12031013
Argentina,ARG,1972,12209544
Argentina,ARG,1973,12395471
Argentina,ARG,1974,12588593
Argentina,ARG,1975,12782177
Argentina,ARG,1976,12975195
Argentina,ARG,1977,13174612
Argentina,ARG,1978,13380799
Argentina,ARG,1979,13591576
Argentina,ARG,1980,13805839
Argentina,ARG,1981,14024750
Argentina,ARG,1982,14247372
Argentina,ARG,1983,14474531
Argentina,ARG,1984,14705240
Argentina,ARG,1985,14936595
Argentina,ARG,1986,15169015
Argentina,ARG,1987,15404032
Argentina,ARG,1988,15644008
Argentina,ARG,1989,15885184
Argentina,ARG,1990,16124938
Argentina,ARG,1991,16360591
Argentina,ARG,1992,16590384
Argentina,ARG,1993,16817863
Argentina,ARG,1994,17047930
Argentina,ARG,1995,17276671
Argentina,ARG,1996,17497965
Argentina,ARG,1997,17713819
Argentina,ARG,1998,17924763
Argentina,ARG,1999,18134664
Argentina,ARG,2000,18343799
Argentina,ARG,2001,18547826
Argentina,ARG,2002,18747967
Argentina,ARG,2003,18943787
Argentina,ARG,2004,19139883
Argentina,ARG,2005,19341997
Argentina,ARG,2006,19547820
Argentina,ARG,2007,19750274
Argentina,ARG,2008,19959761
Argentina,ARG,2009,20181327
Argentina,ARG,2010,20404980
Argentina,ARG,2011,20631647
Argentina,ARG,2012,20854410
Argentina,ARG,2013,21075383
Argentina,ARG,2014,21305700
Argentina,ARG,2015,21537704
Argentina,ARG,2016,21752904
Argentina,ARG,2017,21953151
Argentina,ARG,2018,22142788
Argentina,ARG,2019,22307713
Argentina,ARG,2020,22419491
Argentina,ARG,2021,22478112
Argentina,ARG,2022,22527129
Argentina,ARG,2023,22596980
Armenia,ARM,1950,661927
Armenia,ARM,1951,679404
Armenia,ARM,1952,698092
Armenia,ARM,1953,718092
Armenia,ARM,1954,739540
Armenia,ARM,1955,762545
Armenia,ARM,1956,787450
Armenia,ARM,1957,814369
Armenia,ARM,1958,843004
Armenia,ARM,1959,873321
Armenia,ARM,1960,904890
Armenia,ARM,1961,936951
Armenia,ARM,1962,969191
Armenia,ARM,1963,1001439
Armenia,ARM,1964,1033509
Armenia,ARM,1965,1065206
Armenia,ARM,1966,1096366
Armenia,ARM,1967,1126880
Armenia,ARM,1968,1156613
Armenia,ARM,1969,1184779
Armenia,ARM,1970,1210382
Armenia,ARM,1971,1234441
Armenia,ARM,1972,1258838
Armenia,ARM,1973,1284114
Armenia,ARM,1974,1310222
Armenia,ARM,1975,1337145
Armenia,ARM,1976,1367481
Armenia,ARM,1977,1402338
Armenia,ARM,1978,1439575
Armenia,ARM,1979,1467169
Armenia,ARM,1980,1482681
Armenia,ARM,1981,1496630
Armenia,ARM,1982,1510582
Armenia,ARM,1983,1524937
Armenia,ARM,1984,1540999
Armenia,ARM,1985,1557518
Armenia,ARM,1986,1573124
Armenia,ARM,1987,1588439
Armenia,ARM,1988,1600319
Armenia,ARM,1989,1643901
Armenia,ARM,1990,1698702
Armenia,ARM,1991,1729677
Armenia,ARM,1992,1708596
Armenia,ARM,1993,1649392
Armenia,ARM,1994,1605186
Armenia,ARM,1995,1576989
Armenia,ARM,1996,1563085
Armenia,ARM,1997,1547575
Armenia,ARM,1998,1523823
Armenia,ARM,1999,1492702
Armenia,ARM,2000,1461050
Armenia,ARM,2001,1434444
Armenia,ARM,2002,1419497
Armenia,ARM,2003,1410992
Armenia,ARM,2004,1402579
Armenia,ARM,2005,1394219
Armenia,ARM,2006,1385887
Armenia,ARM,2007,1377696
Armenia,ARM,2008,1368308
Armenia,ARM,2009,1357376
Armenia,ARM,2010,1346191
Armenia,ARM,2011,1340738
Armenia,ARM,2012,1341383
Armenia,ARM,2013,1342431
Armenia,ARM,2014,1343443
Armenia,ARM,2015,1343848
Armenia,ARM,2016,1343642
Armenia,ARM,2017,1342651
Armenia,ARM,2018,1341813
Armenia,ARM,2019,1341092
Armenia,ARM,2020,1336438
Armenia,ARM,2021,1327823
Armenia,ARM,2022,1333943
Armenia,ARM,2023,1365377
Australia,AUS,1950,4120235
Australia,AUS,1951,4252379
Australia,AUS,1952,4366636
Australia,AUS,1953,4462014
Australia,AUS,1954,4553720
Australia,AUS,1955,4659558
Australia,AUS,1956,4773217
Australia,AUS,1957,4879702
Australia,AUS,1958,4979626
Australia,AUS,1959,5083102
Australia,AUS,1960,5194824
Australia,AUS,1961,5304598
Australia,AUS,1962,5403608
Australia,AUS,1963,5502682
Australia,AUS,1964,5608555
Australia,AUS,1965,5722056
Australia,AUS,1966,5837977
Australia,AUS,1967,5945207
Australia,AUS,1968,6053925
Australia,AUS,1969,6174659
Australia,AUS,1970,6336957
Australia,AUS,1971,6534054
Australia,AUS,1972,6685508
Australia,AUS,1973,6790475
Australia,AUS,1974,6887955
Australia,AUS,1975,6970140
Australia,AUS,1976,7039842
Australia,AUS,1977,7111256
Australia,AUS,1978,7186305
Australia,AUS,1979,7263172
Australia,AUS,1980,7352077
Australia,AUS,1981,7463242
Australia,AUS,1982,7585547
Australia,AUS,1983,7697925
Australia,AUS,1984,7801047
Australia,AUS,1985,7909733
Australia,AUS,1986,8027100
Australia,AUS,1987,8150533
Australia,AUS,1988,8282466
Australia,AUS,1989,8417258
Australia,AUS,1990,8542422
Australia,AUS,1991,8651041
Australia,AUS,1992,8743917
Australia,AUS,1993,8826198
Australia,AUS,1994,8909882
Australia,AUS,1995,9005244
Australia,AUS,1996,9104995
Australia,AUS,1997,9198428
Australia,AUS,1998,9290791
Australia,AUS,1999,9389600
Australia,AUS,2000,9496304
Australia,AUS,2001,9610318
Australia,AUS,2002,9725460
Australia,AUS,2003,9838251
Australia,AUS,2004,9952849
Australia,AUS,2005,10078353
Australia,AUS,2006,10229308
Australia,AUS,2007,10416914
Australia,AUS,2008,10632548
Australia,AUS,2009,10844031
Australia,AUS,2010,11023080
Australia,AUS,2011,11189242
Australia,AUS,2012,11372629
Australia,AUS,2013,11558443
Australia,AUS,2014,11727905
Australia,AUS,2015,11892485
Australia,AUS,2016,12074037
Australia,AUS,2017,12270986
Australia,AUS,2018,12465557
Australia,AUS,2019,12645921
Australia,AUS,2020,12773746
Australia,AUS,2021,12879358
Australia,AUS,2022,13000467
Australia,AUS,2023,13123651
Austria,AUT,1950,3219962
Austria,AUT,1951,3215284
Austria,AUT,1952,3214378
Austria,AUT,1953,3218051
Austria,AUT,1954,3223124
Austria,AUT,1955,3227517
Austria,AUT,1956,3231253
Austria,AUT,1957,3239028
Austria,AUT,1958,3250660
Austria,AUT,1959,3265003
Austria,AUT,1960,3282529
Austria,AUT,1961,3302685
Austria,AUT,1962,3325660
Austria,AUT,1963,3350424
Austria,AUT,1964,3376590
Austria,AUT,1965,3403566
Austria,AUT,1966,3433660
Austria,AUT,1967,3465606
Austria,AUT,1968,3487525
Austria,AUT,1969,3502177
Austria,AUT,1970,3517605
Austria,AUT,1971,3537072
